Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
01/03/2021 11:02,£0.00,Post CC,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 11:03,£0.00,Post CC,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 11:04,£0.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal-vehicle drive away,Bus stop clearway,£70.00,47
01/03/2021 11:04,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:04,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 11:04,-£35.00,Pre-NtO Discount,Chapel Walks,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
01/03/2021 11:05,£0.00,Cancelled,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
01/03/2021 11:05,-£35.00,Pre-NtO Discount,Haymarket Street,Ardwick,Affixed to vehicle,Restricted Area,£0.00,1
01/03/2021 11:05,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:06,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 11:06,£0.00,Post CC,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 11:08,-£25.00,Pre-NtO Discount,Dickinson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 11:10,£0.00,Cancelled,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 11:10,-£25.00,Pre-NtO Discount,Chepstow Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/03/2021 11:12,-£70.00,Post NtO,HIGHER ORMOND STREET,Ardwick,Affixed to vehicle,Disabled Bay,£0.00,40
01/03/2021 11:12,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:14,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:16,£0.00,Pre-NtO Full Rate,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,73
01/03/2021 11:17,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:17,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:18,-£70.00,Post NtO,Kennedy Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23
01/03/2021 11:18,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:19,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:19,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:19,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/03/2021 11:20,-£25.00,Pre-NtO Discount,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 11:21,£0.00,Post NtO,Playfair Street,Moss Side,Affixed to vehicle,No Waiting At Any Time,£70.00,1
01/03/2021 11:21,-£50.00,Pre-NtO Full Rate,Wilmslow Road (DidsburyEast),DidsburyEast,Affixed to vehicle,Limited Waiting,£0.00,24
01/03/2021 11:21,-£35.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,25
01/03/2021 11:21,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:23,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/03/2021 11:23,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:26,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:27,-£35.00,Pre-NtO Discount,Rainforth Street,Longsight,Affixed to vehicle,No Waiting,£0.00,1
01/03/2021 11:27,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,86
01/03/2021 11:27,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:27,-£35.00,Pre-NtO Discount,Heald Place (Rusholme),Moss Side,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/03/2021 11:28,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:28,-£35.00,Pre-NtO Discount,Tatton Grove,Withington,Affixed to vehicle,Parking Place,£0.00,12
01/03/2021 11:29,-£35.00,Pre-NtO Discount,Sharp Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
01/03/2021 11:29,£0.00,Cancelled,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 11:30,£0.00,Post NtO,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,73
01/03/2021 11:30,£0.00,Post NtO,Kennedy Street,Deansgate,Affixed to vehicle,GV Loading Bay,£70.00,25
01/03/2021 11:31,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:32,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:33,£0.00,Post NtO,Kennedy Street,Deansgate,Affixed to vehicle,GV Loading Bay,£70.00,25
01/03/2021 11:34,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 11:34,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 11:35,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 11:35,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,86
