Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
13/03/2021 21:53,£0.00,Pre-NtO Full Rate,Thurloe Street,Rusholme,Affixed to vehicle,No Loading at Any Time,£70.00,2
13/03/2021 21:58,£0.00,Post NtO,Banff Road,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
13/03/2021 22:08,£0.00,Pre-NtO Full Rate,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
13/03/2021 22:11,-£35.00,Post NtO,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
13/03/2021 22:11,£0.00,Post NtO,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
13/03/2021 22:12,-£35.00,Pre-NtO Discount,Furness Road,Fallowfield,Affixed to vehicle,No Waiting At Any Time,£0.00,1
13/03/2021 22:16,-£35.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal-vehicle drive away,Bus stop clearway,£0.00,47
13/03/2021 22:17,£0.00,Post NtO,Wilmslow Road (Fallowfield),Fallowfield,Postal-vehicle drive away,No Loading at Any Time,£35.00,2
13/03/2021 22:18,-£35.00,Post NtO,Wilmslow Road (Fallowfield),Fallowfield,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
13/03/2021 22:25,-£35.00,Post NtO,Wilmslow Road (Fallowfield),Fallowfield,Postal-vehicle drive away,Bus stop clearway,£0.00,47
13/03/2021 22:28,-£50.00,Pre-NtO Full Rate,Park Crescent,Rusholme,Affixed to vehicle,Limited Waiting,£0.00,30
13/03/2021 22:31,£0.00,Pre-NtO Full Rate,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,No Waiting At Any Time,£70.00,1
13/03/2021 22:31,-£35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,No Waiting At Any Time,£0.00,1
13/03/2021 22:32,-£70.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
13/03/2021 22:33,£0.00,Post NtO,Park Crescent,Rusholme,Postal - Prevented From Serving,Disabled Persons Parking Place,£35.00,40
13/03/2021 22:38,-£35.00,Pre-NtO Discount,Walmer Street East,Rusholme,Affixed to vehicle,No Loading at Any Time,£0.00,2
13/03/2021 22:43,£0.00,Pre-NtO Full Rate,Wilbraham Road (Chorlton),Chorlton,Handed To Driver,No Waiting At Any Time,£70.00,1
13/03/2021 22:46,-£35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Handed To Driver,No Waiting At Any Time,£0.00,1
13/03/2021 22:46,-£35.00,Pre-NtO Discount,Tunstead Avenue,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£0.00,1
13/03/2021 22:50,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
13/03/2021 22:53,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
13/03/2021 22:58,£0.00,Cancelled,Wilbraham Road (Chorlton),Chorlton,Spoil,No Waiting At Any Time,£0.00,99
13/03/2021 22:59,£0.00,Pre-NtO Full Rate,Lloyd Street South (Fallowfield),Fallowfield,Affixed to vehicle,No Waiting At Any Time,£70.00,1
13/03/2021 22:59,-£35.00,Pre-NtO Discount,Lloyd Street South (Fallowfield),Fallowfield,Affixed to vehicle,No Waiting At Any Time,£0.00,1
13/03/2021 22:59,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
13/03/2021 23:05,-£35.00,Pre-NtO Discount,Claremont Road (Moss Side),Moss Side,Affixed to vehicle,No Loading at Any Time,£0.00,2
13/03/2021 23:09,£0.00,Pre-NtO Full Rate,Park Crescent,Rusholme,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40
13/03/2021 23:15,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
13/03/2021 23:19,-£35.00,Post NtO,Dagenham Road,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
13/03/2021 23:36,-£35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,27
13/03/2021 23:46,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
13/03/2021 23:48,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
13/03/2021 23:49,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
14/03/2021 00:14,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 00:17,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 00:54,£0.00,Pre-NtO Full Rate,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
14/03/2021 00:55,-£35.00,Post NtO,Water Street (Hulme),Hulme,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
14/03/2021 00:55,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
14/03/2021 01:04,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
14/03/2021 01:08,£0.00,Post NtO,Oxford Street,Deansgate,Postal - Prevented From Serving,No Loading at Any Time,£70.00,2
14/03/2021 01:40,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 01:41,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
14/03/2021 02:02,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 02:09,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
14/03/2021 02:23,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 02:24,-£35.00,Pre-NtO Discount,Cheetham Hill Road,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
14/03/2021 02:31,£0.00,Pre-NtO Full Rate,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 02:48,-£35.00,Pre-NtO Discount,Delaunays Road (Crumpsall),Crumpsall,Affixed to vehicle,Restricted Area,£0.00,12
14/03/2021 02:49,-£35.00,Pre-NtO Discount,Delaunays Road (Crumpsall),Crumpsall,Affixed to vehicle,Restricted Area,£0.00,12
14/03/2021 02:58,£0.00,Pre-NtO Full Rate,Hallworth Road,Crumpsall,Affixed to vehicle,Restricted Area,£70.00,2
14/03/2021 03:16,-£35.00,Pre-NtO Discount,Nancy Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
14/03/2021 04:04,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 05:53,£0.00,Pre-NtO Full Rate,NEW UNION STREET,Central,Affixed to vehicle,Restricted Area,£70.00,1
14/03/2021 06:55,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 07:21,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 07:29,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 07:35,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 07:41,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 07:54,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 08:05,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 08:06,£0.00,Pre-NtO Full Rate,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,27
14/03/2021 08:11,-£25.00,Pre-NtO Discount,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:11,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
14/03/2021 08:14,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:15,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:16,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:17,£0.00,Cancelled,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
14/03/2021 08:17,£0.00,Pre-NtO Full Rate,Museum Street,City Centre,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:17,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:18,-£25.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,24
14/03/2021 08:18,£0.00,Cancelled,Roby Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:18,£0.00,Pre-NtO Full Rate,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£50.00,24
14/03/2021 08:19,-£35.00,Pre-NtO Discount,Beattock Close,Hulme,Affixed to vehicle,Restricted Area,£0.00,1
14/03/2021 08:19,-£25.00,Pre-NtO Discount,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:20,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:24,-£25.00,Pre-NtO Discount,Riga Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:26,£0.00,Pre-NtO Full Rate,Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:29,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:30,£0.00,Cancelled,Sadler Court,Hulme,Affixed to vehicle,Restricted Area,£0.00,12
14/03/2021 08:31,-£25.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,24
14/03/2021 08:31,£0.00,Pre-NtO Full Rate,Sadler Court,Hulme,Affixed to vehicle,Restricted Area,£70.00,12
14/03/2021 08:32,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:32,-£25.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,24
14/03/2021 08:33,£0.00,Cancelled,Sadler Court,Hulme,Affixed to vehicle,Restricted Area,£0.00,12
14/03/2021 08:33,£0.00,Pre-NtO Full Rate,Sadler Court,Hulme,Affixed to vehicle,Restricted Area,£70.00,12
14/03/2021 08:33,£0.00,Pre-NtO Full Rate,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:34,-£25.00,Pre-NtO Discount,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:35,-£35.00,Pre-NtO Discount,Norfolk Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
14/03/2021 08:36,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 08:37,£0.00,Cancelled,Hulme Street (City Centre : CENTRAL),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:39,-£25.00,Pre-NtO Discount,Samuel Ogden Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:39,£0.00,Pre-NtO Full Rate,Tib Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:40,£0.00,Pre-NtO Full Rate,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£25.00,24
14/03/2021 08:40,-£25.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:41,£0.00,Pre-NtO Full Rate,Tib Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 08:42,-£25.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,24
14/03/2021 08:42,£0.00,Cancelled,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 08:44,-£25.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:44,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 08:47,-£25.00,Pre-NtO Discount,Cambridge Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
14/03/2021 08:49,£0.00,Pre-NtO Full Rate,Princess Street (Deansgate : ZONEA),Deansgate,Affixed to vehicle,Restricted Area,£50.00,6
14/03/2021 08:51,£0.00,Pre-NtO Full Rate,Silvercroft Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1
14/03/2021 08:56,-£35.00,Pre-NtO Discount,Maine Road,Moss Side,Affixed to vehicle,No Waiting At Any Time,£0.00,1
14/03/2021 08:57,-£25.00,Pre-NtO Discount,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:58,£0.00,Cancelled,Granby Row,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:58,-£25.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:59,-£25.00,Pre-NtO Discount,Cambridge Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 08:59,£0.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£70.00,1
14/03/2021 09:00,£0.00,Pre-NtO Full Rate,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£70.00,1
14/03/2021 09:01,£0.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 09:05,£0.00,Pre-NtO Full Rate,New Wakefield Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 09:07,-£25.00,Pre-NtO Discount,Blantyre Street,Deansgate,Affixed to vehicle,Pay And Display,£0.00,6
14/03/2021 09:09,-£35.00,Pre-NtO Discount,Woodlawn Court,WhalleyRange,Affixed to vehicle,No Waiting At Any Time,£0.00,1
14/03/2021 09:09,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:11,-£25.00,Pre-NtO Discount,Whitworth Street West (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 09:13,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 09:13,£0.00,Cancelled,Oxford Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
14/03/2021 09:14,-£25.00,Pre-NtO Discount,Slate Wharf,Deansgate,Affixed to vehicle,Pay And Display,£0.00,6
14/03/2021 09:18,-£25.00,Pre-NtO Full Rate,Slate Wharf,Deansgate,Affixed to vehicle,Pay And Display,£0.00,6
14/03/2021 09:25,-£35.00,Pre-NtO Discount,Epping Street,Hulme,Affixed to vehicle,Residents Parking,£0.00,12
14/03/2021 09:35,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:37,-£140.00,Pre-NtO Discount,Great Bridgewater Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,No Waiting,£0.00,1
14/03/2021 09:41,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:43,-£35.00,Pre-NtO Discount,Whitworth Street West (City Centre : ZONEB),Deansgate,Handed To Driver,Taxi Stand,£0.00,45
14/03/2021 09:46,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:47,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:53,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:55,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 09:58,£0.00,Pre-NtO Full Rate,Warsall Road,Sharston,Affixed to vehicle,Restricted Area,£70.00,1
14/03/2021 09:58,-£25.00,Pre-NtO Discount,Tariff Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 09:59,-£25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
14/03/2021 10:02,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:04,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
14/03/2021 10:05,-£140.00,Pre-NtO Discount,Shentonfield Road,Sharston,Affixed to vehicle,Restricted Area,£0.00,1
14/03/2021 10:06,-£25.00,Pre-NtO Discount,Ducie Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 10:08,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:10,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 10:12,£0.00,Cancelled,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 10:13,-£25.00,Pre-NtO Discount,Hilton Street (City Centre : ZONEA),Piccadilly,Handed To Driver,Pay and Display Parking,£0.00,6
14/03/2021 10:13,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:19,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 10:19,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:22,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:22,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:27,£0.00,Pre-NtO Full Rate,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,5
14/03/2021 10:28,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 10:32,-£25.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 10:33,£0.00,Pre-NtO Full Rate,Great Bridgewater Street (City Centre : ZONEC),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5
14/03/2021 10:36,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 10:38,£0.00,Pre-NtO Full Rate,Whitworth Street West (City Centre : ZONEC),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 10:39,-£25.00,Pre-NtO Discount,Copperas Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
14/03/2021 11:05,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:07,£0.00,Pre-NtO Full Rate,Slate Wharf,Deansgate,Affixed to vehicle,Pay And Display,£50.00,6
14/03/2021 11:07,-£35.00,Post NtO,Copson Street,Old Moat,Postal-vehicle drive away,Disabled Persons Parking Place,£0.00,40
14/03/2021 11:07,£0.00,Cancelled,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,73
14/03/2021 11:08,£0.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£70.00,1
14/03/2021 11:09,-£50.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,86
14/03/2021 11:10,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:12,£0.00,Pre-NtO Full Rate,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£50.00,24
14/03/2021 11:14,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,82
14/03/2021 11:16,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Handed To Driver,Car Park,£0.00,82
14/03/2021 11:18,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:20,£0.00,Pre-NtO Full Rate,Silvercroft Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1
14/03/2021 11:21,£0.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 11:26,-£140.00,Pre-NtO Discount,Riga Road,Fallowfield,Affixed to vehicle,No Waiting At Any Time,£0.00,27
14/03/2021 11:26,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 11:30,-£35.00,Pre-NtO Discount,Church Street,Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
14/03/2021 11:31,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:33,-£25.00,Pre-NtO Discount,Bridgewater Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 11:33,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:36,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:39,-£25.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
14/03/2021 11:40,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:41,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:41,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:41,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:41,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:41,£0.00,Pre-NtO Full Rate,Newton Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1
14/03/2021 11:43,-£25.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
14/03/2021 11:45,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:46,-£25.00,Pre-NtO Discount,Hilton Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 11:46,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:46,-£25.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
14/03/2021 11:55,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:55,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:56,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:56,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
14/03/2021 11:57,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 11:59,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
14/03/2021 12:00,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
14/03/2021 12:00,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
14/03/2021 12:02,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
14/03/2021 12:03,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
14/03/2021 12:04,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 12:06,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
14/03/2021 12:06,£0.00,Pre-NtO Full Rate,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 12:09,-£35.00,Pre-NtO Discount,Hardman Street,Deansgate,Handed To Driver,GV Loading Bay,£0.00,23
14/03/2021 12:10,-£25.00,Pre-NtO Discount,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
14/03/2021 12:11,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
14/03/2021 12:11,-£25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
