Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention Code
29/04/2021 11:06,£0.00,Pre-NtO Discount,Cotton Lane (Withington),Withington,Affixed to vehicle,No Loading at Any Time,£35.00,2
29/04/2021 11:08,-£25.00,Pre-NtO Discount,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
29/04/2021 11:10,£0.00,Pre-NtO Discount,Marley Road,Levenshulme,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
29/04/2021 11:10,-£25.00,Pre-NtO Discount,Hanover Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,24
29/04/2021 11:12,-£25.00,Pre-NtO Discount,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
29/04/2021 11:13,-£35.00,Pre-NtO Discount,Hathersage Road,Ardwick,Affixed to vehicle,Restricted Area,£0.00,1
29/04/2021 11:21,£0.00,Pre-NtO Discount,High Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 11:21,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:22,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:23,£0.00,Pre-NtO Discount,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£0.00,34
29/04/2021 11:24,-£35.00,Pre-NtO Discount,Humphrey Street,Crumpsall,Affixed to vehicle,No Waiting,£0.00,1
29/04/2021 11:25,£0.00,Pre-NtO Discount,Barlow Road,Levenshulme,Affixed to vehicle,Restricted Area,£35.00,1
29/04/2021 11:26,£0.00,Pre-NtO Discount,Garden Centre Car Park,(None),Affixed to vehicle,Car Park,£25.00,83
29/04/2021 11:29,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
29/04/2021 11:29,£0.00,Pre-NtO Discount,Cromwell Grove,Levenshulme,Postal - Prevented From Serving,No Waiting,£0.00,1
29/04/2021 11:30,£0.00,Pre-NtO Discount,Rippingham Road,Old Moat,Affixed to vehicle,No Waiting At Any Time,£35.00,27
29/04/2021 11:31,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:32,£0.00,Pre-NtO Discount,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£35.00,1
29/04/2021 11:32,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:32,£0.00,Pre-NtO Discount,ALBINE STREET,Moston,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 11:38,£0.00,Pre-NtO Discount,Keppel Road,Chorlton,Affixed to vehicle,No Waiting,£35.00,1
29/04/2021 11:40,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
29/04/2021 11:43,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:44,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:44,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:45,£0.00,Pre-NtO Discount,High Street (City Centre),Piccadilly,Handed To Driver,No Loading at Any Time,£35.00,2
29/04/2021 11:46,£0.00,Pre-NtO Discount,Burton Road (DidsburyWest),DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 11:47,-£35.00,Pre-NtO Discount,Mill Lane (Northernden),Northenden,Affixed to vehicle,No Waiting At Any Time,£0.00,1
29/04/2021 11:48,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:51,£0.00,Pre-NtO Discount,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:51,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:54,-£25.00,Pre-NtO Discount,Redhill Street,Anc & Besw,Handed To Driver,Pay and Display Parking,£0.00,6
29/04/2021 11:55,£0.00,Pre-NtO Discount,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 11:57,£0.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£25.00,6
29/04/2021 11:57,£0.00,Pre-NtO Discount,Wilmslow Road (Rusholme),Rusholme,Affixed to vehicle,Disabled Persons Parking Place,£35.00,40
29/04/2021 12:03,£0.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 12:03,£0.00,Pre-NtO Discount,Lake Car Park,(None),Affixed to vehicle,Car Park,£25.00,86
29/04/2021 12:04,£0.00,Pre-NtO Discount,Major Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 12:05,£0.00,Pre-NtO Discount,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£0.00,34
29/04/2021 12:06,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:07,£0.00,Pre-NtO Discount,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
29/04/2021 12:09,£0.00,Pre-NtO Discount,Grandale Street,Moss Side,Postal - Prevented From Serving,No Loading at Any Time,£0.00,2
29/04/2021 12:10,£0.00,Pre-NtO Discount,Booth Street West,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£35.00,40
29/04/2021 12:14,£0.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:15,£0.00,Pre-NtO Discount,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:15,£0.00,Pre-NtO Discount,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:17,-£35.00,Pre-NtO Discount,Concert Lane,Central,Affixed to vehicle,No Waiting At Any Time,£0.00,1
29/04/2021 12:19,£0.00,Pre-NtO Discount,John Dalton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 12:22,£0.00,Pre-NtO Discount,Carmoor Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:24,-£25.00,Pre-NtO Discount,Roby Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
29/04/2021 12:25,£0.00,Pre-NtO Discount,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£0.00,34
29/04/2021 12:25,£0.00,Pre-NtO Discount,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£35.00,73
29/04/2021 12:26,£0.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 12:27,£0.00,Pre-NtO Discount,Store Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 12:27,£0.00,Pre-NtO Discount,Faulkner Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:27,£0.00,Pre-NtO Discount,Phoenix Street,City Centre,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:28,£0.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:28,£0.00,Pre-NtO Discount,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£35.00,73
29/04/2021 12:29,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:29,£0.00,Pre-NtO Discount,THURLOE STREET CAR PARK,Rusholme,Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:34,£0.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:34,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:35,£0.00,Pre-NtO Discount,Jackson`s Row,Deansgate,Affixed to vehicle,GV Loading Bay,£35.00,23
29/04/2021 12:36,£0.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:38,£0.00,Pre-NtO Discount,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
29/04/2021 12:38,£0.00,Pre-NtO Discount,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 12:46,£0.00,Pre-NtO Discount,Turner Street (City Centre),City Centre,Affixed to vehicle,Pay and Display Parking,£35.00,21
29/04/2021 12:47,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 12:48,£0.00,Pre-NtO Discount,Charlotte Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£35.00,25
29/04/2021 12:49,£0.00,Pre-NtO Discount,Old Oak Street (DidsburyEast),DidsburyEast,Affixed to vehicle,No Waiting,£35.00,1
29/04/2021 12:50,£0.00,Pre-NtO Discount,Chancery Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:50,£0.00,Pre-NtO Discount,Cavendish Avenue,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 12:50,£0.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,82
29/04/2021 12:51,£0.00,Pre-NtO Discount,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,24
29/04/2021 12:52,-£25.00,Pre-NtO Discount,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
29/04/2021 12:54,£0.00,Pre-NtO Discount,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,5
29/04/2021 12:57,-£25.00,Pre-NtO Discount,Wadeson Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6
29/04/2021 12:58,£0.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
29/04/2021 12:58,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
29/04/2021 13:03,£0.00,Pre-NtO Discount,Faulkner Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£35.00,1
29/04/2021 13:10,£0.00,Pre-NtO Discount,Wilmslow Road (DidsburyEast),DidsburyEast,Handed To Driver,No Loading at Any Time,£35.00,2
29/04/2021 13:11,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:11,£0.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£35.00,23
29/04/2021 13:16,£0.00,Pre-NtO Discount,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:17,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:19,£0.00,Pre-NtO Discount,Hardman Street,Deansgate,Affixed to vehicle,GV Loading Bay,£35.00,23
29/04/2021 13:21,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:22,£0.00,Pre-NtO Discount,Rainforth Street,Longsight,Affixed to vehicle,Taxi Stand,£35.00,45
29/04/2021 13:23,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
29/04/2021 13:25,£0.00,Pre-NtO Discount,Hathersage Road,HATHROAD,Affixed to vehicle,No Loading,£35.00,2
29/04/2021 13:25,-£35.00,Pre-NtO Discount,Ballbrook Avenue,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£0.00,1
29/04/2021 13:29,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
