Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
22/04/2020 09:33,-£70.00,Post NtO,Hallworth Road,Crumpsall,Affixed to vehicle,Restricted Area,£0.00,1
22/04/2020 10:13,£0.00,Post CC,Greenheys Lane,Hulme,Affixed to vehicle,Bus Stand,£105.00,47
22/04/2020 10:29,-£35.00,Pre-NtO Discount,INCHLEY ROAD,Ardwick,Affixed to vehicle,No Loading At Any Time,£0.00,27
22/04/2020 10:34,£0.00,Post CC,Kincardine Road,Ardwick,Affixed to vehicle,No Waiting At Any Time,£105.00,1
22/04/2020 11:22,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
22/04/2020 11:25,-£35.00,Pre-NtO Discount,Moss Lane East (Rusholme),Moss Side,Affixed to vehicle,Restricted Street,£0.00,1
22/04/2020 11:47,-£35.00,Pre-NtO Full Rate,Central Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,21
22/04/2020 11:50,-£70.00,Post NtO,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,No Waiting,£0.00,1
22/04/2020 12:03,-£35.00,Pre-NtO Discount,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,No Waiting,£0.00,1
22/04/2020 12:11,-£35.00,Pre-NtO Discount,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
22/04/2020 12:16,-£35.00,Pre-NtO Discount,Copson Street,Old Moat,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
22/04/2020 12:18,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
22/04/2020 12:37,-£35.00,Pre-NtO Discount,Sidney Street,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
22/04/2020 12:44,-£35.00,Pre-NtO Discount,Fernie Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
22/04/2020 13:13,£0.00,Cancelled,Brown Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23
22/04/2020 13:19,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
22/04/2020 13:20,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
22/04/2020 13:34,-£35.00,Pre-NtO Discount,New Elm Road,Deansgate,Affixed to vehicle,No Waiting,£0.00,1
22/04/2020 14:11,-£35.00,Pre-NtO Discount,Rusholme Place,Rusholme,Affixed to vehicle,Restricted Area,£0.00,2
22/04/2020 16:19,-£35.00,Pre-NtO Discount,Cable Street,Piccadilly,Affixed to vehicle,Restricted Parking,£0.00,1
22/04/2020 16:47,-£35.00,Pre-NtO Discount,Todd Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
22/04/2020 17:02,-£35.00,Pre-NtO Discount,Edge Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
22/04/2020 17:13,-£35.00,Pre-NtO Discount,Luna Street,Anc & Besw,Affixed to vehicle,No Waiting At Any Time,£0.00,1
23/04/2020 08:48,-£35.00,Pre-NtO Discount,INCHLEY ROAD,Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,27
23/04/2020 08:49,£0.00,Post CC,INCHLEY ROAD,Ardwick,Affixed to vehicle,No Waiting At Any Time,£105.00,27
23/04/2020 09:10,-£35.00,Pre-NtO Discount,Cross Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23
23/04/2020 09:17,-£35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
23/04/2020 09:39,-£35.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
23/04/2020 09:42,-£35.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
