Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
21/05/2021 18:31,£0.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:33,-£25.00,Pre-NtO Discount,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
21/05/2021 18:35,£25.00,Cancelled,Tariff Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:38,£0.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:40,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:40,-£30.00,Post NtO,Ashton Old Road (Turton Street to Fairfield Road),MP&NH,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:40,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:42,£0.00,Post NtO,Bury New Road (Appian Way to Waterloo Road),Cheetham,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:42,£0.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
21/05/2021 18:43,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:45,-£30.00,Post NtO,Ashton Old Road (Turton Street to Fairfield Road),MP&NH,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:45,£0.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
21/05/2021 18:46,£0.00,Pre-NtO Discount,Tib Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:47,-£25.00,Pre-NtO Discount,Brewer Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
21/05/2021 18:48,£0.00,Pre-NtO Discount,Cambridge Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
21/05/2021 18:49,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:50,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:51,£0.00,Pre-NtO Discount,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:52,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:54,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:56,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:56,£0.00,Pre-NtO Discount,Tib Lane,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:57,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:57,£0.00,Pre-NtO Discount,Marsden Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,5
21/05/2021 18:57,-£35.00,Pre-NtO Discount,Bury Old Road,Crumpsall,Handed To Driver,Restricted Area,£0.00,26
21/05/2021 18:58,£0.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
