Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/12/2020  09:20,-œ50.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  09:22,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:22,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:25,œ0.00,Pre-NtO Full Rate,Ashton Old Road (Turton Street to Fairfield Road),MP&NH,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:25,-œ70.00,Pre-NtO Discount,Poland Street,Anc & Besw,Affixed to vehicle,No Waiting,œ0.00,1
01/12/2020  09:30,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:30,-œ30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:30,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:31,-œ30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:31,œ0.00,Pre-NtO Full Rate,Police Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/12/2020  09:32,-œ30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:32,œ0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  09:33,œ0.00,Pre-NtO Full Rate,Barlow Moor Road (DidsburyWest),DidsburyWest,Affixed to vehicle,No Loading,œ70.00,2
01/12/2020  09:33,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:34,œ0.00,Cancelled,Delaunays Road (Crumpsall),Crumpsall,Spoil,Restricted Area,œ0.00,12
01/12/2020  09:34,-œ35.00,Pre-NtO Discount,Albany Road,Chorlton,Affixed to vehicle,No Waiting,œ0.00,1
01/12/2020  09:35,œ0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ30.00,34
01/12/2020  09:35,-œ35.00,Pre-NtO Discount,Tatton Grove,Withington,Affixed to vehicle,Parking Place,œ0.00,12
01/12/2020  09:36,œ0.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  09:36,-œ30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:36,œ0.00,Pre-NtO Full Rate,BLACKSTOCK STREET,Ardwick,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/12/2020  09:39,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:41,œ0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  09:41,-œ25.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  09:44,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:44,-œ70.00,Pre-NtO Full Rate,Stockport Road (Levenshulme),Levenshulme,Affixed to vehicle,No Loading,œ0.00,2
01/12/2020  09:44,œ0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  09:47,œ0.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  09:47,-œ35.00,Post NtO,Stockport Road (Levenshulme),Levenshulme,Postal-vehicle drive away,No Loading,œ0.00,2
01/12/2020  09:49,-œ30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:49,-œ35.00,Pre-NtO Discount,East Road (Lev),Levenshulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/12/2020  09:49,œ0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/12/2020  09:50,-œ35.00,Pre-NtO Discount,Stockport Road (Levenshulme),Levenshulme,Affixed to vehicle,No Loading,œ0.00,2
01/12/2020  09:51,œ0.00,Pre-NtO Full Rate,Cateaton Street,Deansgate,Affixed to vehicle,GV Loading Bay,œ70.00,25
