Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
21/07/2020 11:31,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:31,-£35.00,Pre-NtO Discount,Cable Street,Piccadilly,Affixed to vehicle,Restricted Parking,£0.00,1
21/07/2020 11:32,£0.00,Post NtO,CHEETWOOD STREET,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,£35.00,1
21/07/2020 11:33,£0.00,Post NtO,CHEETWOOD STREET,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,£35.00,1
21/07/2020 11:33,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:33,-£25.00,Pre-NtO Discount,Aytoun Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,24
21/07/2020 11:34,-£35.00,Pre-NtO Discount,Old Oak Street (DidsburyEast),DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1
21/07/2020 11:34,-£25.00,Pre-NtO Discount,Cheapside,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 11:34,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:36,£0.00,Pre-NtO Discount,Great Western Street (Rusholme),Moss Side,Affixed to vehicle,No Waiting,£35.00,1
21/07/2020 11:37,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 11:37,£0.00,Pre-NtO Discount,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 11:38,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
21/07/2020 11:39,-£35.00,Pre-NtO Discount,Acomb Street (Moss Side),Moss Side,Affixed to vehicle,Restricted Area,£0.00,1
21/07/2020 11:39,-£25.00,Pre-NtO Discount,Great John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 11:40,£0.00,Pre-NtO Discount,Ducie Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/07/2020 11:40,-£35.00,Pre-NtO Discount,Wilmslow Road (DidsburyEast),DidsburyEast,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
21/07/2020 11:41,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
21/07/2020 11:43,£0.00,Pre-NtO Discount,Dyche Street,Piccadilly,Affixed to vehicle,Restricted Area,£25.00,30
21/07/2020 11:44,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:47,-£25.00,Pre-NtO Discount,Samuel Ogden Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/07/2020 11:48,£0.00,Cancelled,Bury New Road,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 11:49,£0.00,Post NtO,Bury New Road,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,£35.00,1
21/07/2020 11:50,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:51,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:52,£0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
21/07/2020 11:53,-£35.00,Pre-NtO Discount,Howard Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/07/2020 11:55,-£25.00,Pre-NtO Discount,Parkville Road,Withington,Affixed to vehicle,No Waiting At Any Time,£0.00,30
21/07/2020 11:56,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
21/07/2020 11:57,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
21/07/2020 11:58,-£35.00,Pre-NtO Discount,St Ann Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
