Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
20/09/2020  11:55,-£25.00,Pre-NtO Discount,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
20/09/2020  11:55,-£25.00,Pre-NtO Discount,Lloyd Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
20/09/2020  11:56,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  11:57,£0.00,Post CC,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£90.00,34
20/09/2020  11:58,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  11:58,-£25.00,Pre-NtO Discount,Store Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
20/09/2020  11:58,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  11:58,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  11:59,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£60.00,34
20/09/2020  12:00,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  12:02,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  12:02,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  12:02,-£30.00,Cancelled,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  12:03,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  12:05,£0.00,Post NtO,Corporation Street (Anc&Clay),Piccadilly,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40
20/09/2020  12:06,£0.00,Post NtO,Birchin Lane,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1
20/09/2020  12:08,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
20/09/2020  12:09,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
