Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/05/2020 17:32,-£35.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Handed To Driver,Disabled Persons Parking Place,£0.00,40
01/05/2020 17:38,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading,£0.00,2
01/05/2020 17:40,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading,£0.00,2
01/05/2020 17:43,-£35.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Handed To Driver,No Loading,£0.00,2
01/05/2020 17:52,-£35.00,Pre-NtO Discount,Mitre Road,Longsight,Affixed to vehicle,No Loading at Any Time,£0.00,2
01/05/2020 17:56,£0.00,Post CC,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£105.00,23
01/05/2020 18:21,-£35.00,Pre-NtO Discount,Church Street,Piccadilly,Handed To Driver,Bus stop clearway,£0.00,47
02/05/2020 08:24,£0.00,Pre-NtO Full Rate,Oldham Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1
02/05/2020 08:28,£0.00,Cancelled,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 08:29,-£35.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,No Loading at Any Time,£0.00,2
02/05/2020 08:29,-£35.00,Pre-NtO Discount,Pollard Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
02/05/2020 08:30,£0.00,Post CC,Pollard Street,Anc & Besw,Affixed to vehicle,No Waiting,£105.00,1
02/05/2020 08:33,£0.00,Post CC,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£105.00,1
02/05/2020 08:37,£0.00,Post CC,Red Lion Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£105.00,1
02/05/2020 08:50,£0.00,Pre-NtO Full Rate,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1
02/05/2020 08:53,-£35.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 09:00,-£35.00,Pre-NtO Discount,HATTER STREET,Central,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 09:01,-£35.00,Pre-NtO Discount,Marshall Street,Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
02/05/2020 09:05,£0.00,Post CC,Rochdale Road (City Centre),Piccadilly,Affixed to vehicle,Restricted Area,£105.00,1
02/05/2020 09:23,£0.00,Post CC,Evesham Avenue (Baguley),Baguley,Affixed to vehicle,No Waiting At Any Time,£105.00,1
02/05/2020 09:25,-£35.00,Pre-NtO Discount,FEDERATION STREET,NorthQuarter,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 09:26,£0.00,Post CC,SCHOOL STREET,Central,Affixed to vehicle,Restricted Area,£105.00,1
02/05/2020 09:26,-£35.00,Pre-NtO Discount,Simpson Street,Piccadilly,Affixed to vehicle,Restricted Parking,£0.00,1
02/05/2020 09:38,-£70.00,Post NtO,Sharp Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
02/05/2020 09:50,-£35.00,Pre-NtO Discount,Ludgate Hill,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
02/05/2020 09:58,-£35.00,Pre-NtO Discount,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 10:10,-£35.00,Pre-NtO Discount,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 10:18,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
02/05/2020 10:22,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
02/05/2020 10:31,£0.00,Post CC,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£105.00,1
02/05/2020 10:45,-£35.00,Pre-NtO Discount,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,27
02/05/2020 10:45,-£35.00,Pre-NtO Discount,Ludgate Hill,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
02/05/2020 11:08,-£35.00,Pre-NtO Discount,Cheetham Hill Road (Cheetham),Cheetham,Affixed to vehicle,GV Loading Bay,£0.00,23
02/05/2020 11:10,-£70.00,Post NtO,Moulton Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 11:21,-£35.00,Pre-NtO Discount,Crescent Road,Crumpsall,Affixed to vehicle,Restricted Area,£0.00,1
02/05/2020 11:25,-£35.00,Pre-NtO Full Rate,George Leigh Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
02/05/2020 11:36,-£35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 11:37,-£35.00,Post NtO,Stockport Road (Longsight),Longsight,Postal-vehicle drive away,No Waiting,£0.00,1
02/05/2020 11:46,-£35.00,Pre-NtO Discount,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 11:47,-£35.00,Pre-NtO Full Rate,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 12:06,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£0.00,23
02/05/2020 12:10,£0.00,Cancelled,Higher Cambridge Street,Hulme,Spoil,No Waiting At Any Time,£0.00,1
02/05/2020 12:36,-£35.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
02/05/2020 12:54,-£35.00,Pre-NtO Discount,Clarendon Road,WhalleyRange,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 13:05,£0.00,Cancelled,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 13:22,-£50.00,Post NtO,Great Bridgewater Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,6
02/05/2020 13:27,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Waiting,£0.00,1
02/05/2020 13:28,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Waiting,£0.00,1
02/05/2020 13:33,-£35.00,Pre-NtO Discount,Barlow Moor Road (DidsburyWest),DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 13:51,-£105.00,Post CC,Dundonald Road,DidsburyEast,Affixed to vehicle,No Waiting At Any Time,£0.00,1
02/05/2020 13:59,-£35.00,Pre-NtO Discount,Stamford Road (Longsight),Longsight,Handed To Driver,Disabled Persons Parking Place,£0.00,40
02/05/2020 14:01,£0.00,Post CC,King Street,Deansgate,Affixed to vehicle,GV Loading Bay,£105.00,25
02/05/2020 14:16,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Waiting,£0.00,1
02/05/2020 16:00,£0.00,Cancelled,Bloom Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
