Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/10/2020  08:59,£0.00,Pre-NtO Full Rate,Lytham Road,Rusholme,CCTV Issue,School Entrance Markings T6A,£0.00,48
01/10/2020  08:59,£0.00,Cancelled,Oldham Road (Lowcross Road to Ten Acres Lane),Newton Heath,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:00,-£35.00,Pre-NtO Discount,Ashurst Road,Sharston,Affixed to vehicle,No Waiting,£0.00,1
01/10/2020  09:00,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:00,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:00,£0.00,Post NtO,John Dalton Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/10/2020  09:01,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:01,-£35.00,Pre-NtO Discount,Farlands Drive,DidsburyEast,Handed To Driver,No Waiting,£0.00,1
01/10/2020  09:02,-£35.00,Post NtO,Upper Lloyd Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
01/10/2020  09:02,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:04,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:05,-£25.00,Pre-NtO Discount,Sackville Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/10/2020  09:09,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:09,-£50.00,Pre-NtO Discount,Great Bridgewater Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,5
01/10/2020  09:12,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  09:12,-£25.00,Pre-NtO Discount,Lena Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
01/10/2020  09:13,-£35.00,Pre-NtO Discount,Wellington Road (Old Moat),Old Moat,Affixed to vehicle,No Waiting,£0.00,1
