Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
12/03/2020  08:58: ,£0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  08:59: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:00: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:02: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:06: ,-£142.00,Pre-NtO Discount,Travis Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:06: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:07: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:07: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:07: ,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:08: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:08: ,-£70.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:08: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:08: ,-£25.00,Pre-NtO Discount,Jersey Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:10: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:10: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:11: ,£0.00,Pre-NtO Full Rate,Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:12: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:13: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:17: ,£0.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:18: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:19: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:19: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:20: ,-£140.00,Pre-NtO Discount,Old Oak Street (DidsburyEast),DidsburyEast,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
12/03/2020  09:20: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:20: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:21: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:21: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:22: ,-£25.00,Pre-NtO Discount,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
12/03/2020  09:22: ,-£30.00,Post NtO,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:25: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:25: ,-£35.00,Post NtO,Dickenson Road,Longsight,Postal-vehicle drive away,Restricted Area,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
12/03/2020  09:26: ,£0.00,Pre-NtO Full Rate,Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:26: ,-£35.00,Pre-NtO Discount,Norfolk Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:26: ,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:26: ,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:26: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:26: ,-£35.00,Pre-NtO Discount,Tatton Grove,Withington,Affixed to vehicle,Parking Place,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
12/03/2020  09:27: ,£0.00,Pre-NtO Full Rate,Thomas Street (Cheetham),Cheetham,Affixed to vehicle,Restricted Area,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
12/03/2020  09:28: ,-£25.00,Pre-NtO Discount,Rowendale Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:29: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:32: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:33: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:33: ,-£25.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:34: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:35: ,£0.00,Post NtO,DENCOMBE STREET,Longsight,Postal-vehicle drive away,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:35: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:36: ,£0.00,Pre-NtO Full Rate,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:36: ,-£30.00,Pre-NtO Full Rate,Waterloo Road,Cheetham,Affixed to vehicle,No Waiting,£40.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:36: ,£0.00,Pre-NtO Full Rate,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:36: ,£0.00,Cancelled,Hume Street,Levenshulme,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:38: ,-£35.00,Pre-NtO Discount,Pencroft Way,Hulme,Affixed to vehicle,No Waiting,£0.00,26,Vehicle parked more than 50 centimetres from the edge of the carriageway and not within a designated parking place. 
12/03/2020  09:38: ,£0.00,Pre-NtO Full Rate,Blossom Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£25.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:38: ,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
12/03/2020  09:40: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:40: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:41: ,£0.00,Pre-NtO Full Rate,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:41: ,£0.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal-vehicle drive away,Disabled Persons Parking Place,£70.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
12/03/2020  09:41: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:41: ,-£35.00,Pre-NtO Discount,Hyde Grove,Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,27,Parked adjacent to a dropped footway 
12/03/2020  09:42: ,-£35.00,Pre-NtO Discount,William Street,DidsburyEast,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:43: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:43: ,-£25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:43: ,-£25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
12/03/2020  09:44: ,-£35.00,Post NtO,Stockport Road (Longsight),Longsight,Postal-vehicle drive away,No Loading,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
12/03/2020  09:45: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:46: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:46: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:46: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:47: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:47: ,-£35.00,Pre-NtO Discount,Stockport Road (Levenshulme),Levenshulme,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
12/03/2020  09:47: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:48: ,£0.00,Pre-NtO Full Rate,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:48: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:49: ,-£25.00,Pre-NtO Discount,Jersey Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:50: ,-£35.00,Pre-NtO Discount,Barlow Moor Road (Chorlton),Chorlton,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  09:50: ,£0.00,Pre-NtO Full Rate,Collier Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:50: ,£0.00,Pre-NtO Full Rate,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:51: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:51: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:52: ,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:53: ,£0.00,Pre-NtO Full Rate,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:55: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:57: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:58: ,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  09:58: ,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  09:59: ,-£35.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
12/03/2020  10:01: ,-£35.00,Pre-NtO Discount,Charlton Place,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:02: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:02: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:03: ,£0.00,Pre-NtO Full Rate,Mason Street,Piccadilly,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:03: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:03: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:05: ,-£35.00,Pre-NtO Discount,Albert Hill Street,DidsburyEast,Handed To Driver,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:06: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:07: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:07: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:09: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:10: ,-£35.00,Pre-NtO Discount,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:10: ,-£35.00,Pre-NtO Discount,Clopton Walk,Hulme,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:10: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:12: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:13: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:14: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:14: ,£0.00,Cancelled,DOVER STREET,Ardwick,Affixed to vehicle,No Waiting,£0.00,26,Vehicle parked more than 50 centimetres from the edge of the carriageway and not within a designated parking place. 
12/03/2020  10:14: ,-£35.00,Pre-NtO Discount,Park Grove,Longsight,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:16: ,£0.00,Cancelled,BRIGHTON PLACE,Hulme,Spoil,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:16: ,£0.00,Pre-NtO Full Rate,Pollard Street East,Anc & Besw,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:17: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:18: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:18: ,-£35.00,Pre-NtO Discount,George Parr Road (Hulme H4),HULME,Affixed to vehicle,Restricted Areas,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:19: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:20: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:21: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:21: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:22: ,£0.00,Pre-NtO Full Rate,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:22: ,-£25.00,Pre-NtO Discount,Tonman Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:22: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:23: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:23: ,-£35.00,Pre-NtO Discount,Pollard Street East,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:23: ,£0.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:24: ,£0.00,Pre-NtO Full Rate,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:24: ,-£35.00,Post NtO,Oxford Road (Hulme),Hulme,Postal-vehicle drive away,Bus stop clearway,£0.00,47,Stopped on a restricted bus stop or stand  
12/03/2020  10:24: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:26: ,-£35.00,Pre-NtO Discount,Keppel Road,Chorlton,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:26: ,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:26: ,£0.00,Cancelled,Weybridge Road,Anc & Besw,Spoil,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:26: ,£0.00,Pre-NtO Full Rate,Pollard Street East,Anc & Besw,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:27: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:28: ,£0.00,Pre-NtO Full Rate,Major Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
12/03/2020  10:28: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:28: ,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:30: ,-£35.00,Pre-NtO Discount,Stovell Avenue,Levenshulme,Affixed to vehicle,No Waiting,£0.00,27,Parked adjacent to a dropped footway 
12/03/2020  10:32: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:33: ,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:34: ,£0.00,Cancelled,Carmoor Road,Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:34: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:35: ,£0.00,Pre-NtO Full Rate,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
12/03/2020  10:35: ,£0.00,Pre-NtO Full Rate,Portland Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:36: ,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:40: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:40: ,£0.00,Pre-NtO Full Rate,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:40: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:41: ,-£25.00,Pre-NtO Discount,Carmoor Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:42: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
12/03/2020  10:42: ,£0.00,Pre-NtO Full Rate,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:42: ,-£35.00,Pre-NtO Discount,Mauldeth Road West (Chorlton Park),ChorltonPark,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:43: ,£0.00,Cancelled,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
12/03/2020  10:43: ,-£35.00,Post NtO,Albyns Avenue,Cheetham,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
12/03/2020  10:43: ,-£25.00,Pre-NtO Discount,Phoenix Way,Hulme,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
12/03/2020  10:45: ,-£35.00,Pre-NtO Discount,Piccadilly,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
