Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/03/2020  01:59: ,£0.00,Pre-NtO Full Rate,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:00: ,£0.00,Pre-NtO Full Rate,John Dalton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:01: ,£0.00,Pre-NtO Full Rate,Ridgefield,Deansgate,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:02: ,£0.00,Pre-NtO Full Rate,John Dalton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:05: ,£0.00,Pre-NtO Full Rate,Ridgefield,Deansgate,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:11: ,-£35.00,Pre-NtO Discount,Ridgefield,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:14: ,-£35.00,Pre-NtO Discount,Ridgefield,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:15: ,£0.00,Pre-NtO Full Rate,Sackville Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:16: ,-£35.00,Pre-NtO Discount,Sackville Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:21: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  02:22: ,-£35.00,Pre-NtO Discount,Sackville Street (City Centre : ZONEB),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:24: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  02:24: ,-£35.00,Pre-NtO Discount,Brazil Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,26,Vehicle parked more than 50 centimetres from the edge of the carriageway and not within a designated parking place. 
01/03/2020  02:25: ,-£35.00,Pre-NtO Discount,St James Square,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:27: ,-£35.00,Pre-NtO Discount,St James Square,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  02:32: ,£0.00,Pre-NtO Full Rate,South King Street,Deansgate,Affixed to vehicle,Disabled Person Parking Place,£70.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/03/2020  02:36: ,-£35.00,Pre-NtO Discount,Watson Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:38: ,-£35.00,Pre-NtO Discount,Bloom Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:49: ,£0.00,Pre-NtO Full Rate,Windmill Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:50: ,£0.00,Pre-NtO Full Rate,Well Street,Piccadilly,Affixed to vehicle,Taxi Clearway,£70.00,45,Parked on a taxi rank  
01/03/2020  02:52: ,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  02:52: ,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  02:52: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  02:55: ,£0.00,Pre-NtO Full Rate,Windmill Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  02:56: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  02:57: ,-£35.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  03:02: ,-£35.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  03:13: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
