Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
05/08/2020  11:05,-£70.00,Pre-NtO Discount,Orchard Street,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£0.00,1
05/08/2020  11:05,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:05,£0.00,NoDR,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£98.00,34
05/08/2020  11:06,-£35.00,Pre-NtO Discount,Moss Lane East (Rusholme),Moss Side,Affixed to vehicle,Restricted Street,£0.00,1
05/08/2020  11:07,£0.00,Cancelled,Wythenshawe Forum Car Park,Baguley,Affixed to vehicle,Car Park,£0.00,83
05/08/2020  11:07,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:07,-£35.00,Pre-NtO Discount,Lloyd Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
05/08/2020  11:09,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:10,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:10,-£70.00,Pre-NtO Full Rate,Copthall Lane,Cheetham,Affixed to vehicle,No Waiting,£0.00,1
05/08/2020  11:10,-£50.00,Post NtO,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
05/08/2020  11:10,£0.00,NoDR,Copthall Lane,Cheetham,Affixed to vehicle,No Waiting,£113.00,1
05/08/2020  11:11,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:11,£0.00,Cancelled,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
05/08/2020  11:12,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:13,-£70.00,Post NtO,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2
05/08/2020  11:13,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:14,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:15,£0.00,NoDR,Cromwell Grove,Levenshulme,Affixed to vehicle,No Waiting,£113.00,1
05/08/2020  11:15,-£60.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:15,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:17,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:18,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:18,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:19,£0.00,Post CC,Blossom Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£75.00,5
05/08/2020  11:20,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
05/08/2020  11:21,£0.00,NoDR,Thomas Street (Cheetham),Cheetham,Affixed to vehicle,Restricted Area,£113.00,23
