Issued At,Paid,Location,Ward,Ticket Destination,Zone Name,OS Bal,Cont.
01/07/2022 10:27,£30.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:31,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:31,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/07/2022 10:35,£0.00,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/07/2022 10:39,£30.00,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:43,£30.00,Oxford Road (Nelson Street To Hathersage Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:46,£30.00,Oxford Road (Nelson Street To Hathersage Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:49,£0.00,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/07/2022 10:50,£0.00,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
01/07/2022 10:51,£30.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:51,£0.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
01/07/2022 10:54,£30.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:55,£30.00,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:55,£30.00,Oxford Road (Nelson Street To Hathersage Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:56,£30.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 10:59,£30.00,Oxford Road (Hathersage Road To Denmark Road),Rusholme,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:01,£30.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:02,£30.00,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:03,£0.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
01/07/2022 11:05,£30.00,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:06,£30.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:06,£30.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:11,£30.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:13,£30.00,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:20,£0.00,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£60.00,34
01/07/2022 11:22,£30.00,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£0.00,34
01/07/2022 11:26,£0.00,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
